New test done with time limit: 900s
Bit length: 16 	 Run time: 0.0030327429994940758
Bit length: 17 	 Run time: 0.006223160773515701
Bit length: 18 	 Run time: 0.00120469368994236
Bit length: 19 	 Run time: 0.006619676016271114
Bit length: 20 	 Run time: 0.005566761363297701
Bit length: 21 	 Run time: 0.0012543527409434319
Bit length: 22 	 Run time: 0.020477239973843098
Bit length: 23 	 Run time: 0.022578903939574957
Bit length: 24 	 Run time: 0.027459023986011744
Bit length: 25 	 Run time: 0.03153215581551194
Bit length: 26 	 Run time: 0.07921700226143003
Bit length: 27 	 Run time: 0.07995674759149551
Bit length: 28 	 Run time: 0.40345503110438585
Bit length: 29 	 Run time: 0.13112834095954895
Bit length: 30 	 Run time: 0.23509971518069506
Bit length: 31 	 Run time: 0.1450396291911602
Bit length: 32 	 Run time: 0.14306427910923958
Bit length: 33 	 Run time: 1.0922120548784733
Bit length: 34 	 Run time: 0.7895843228325248
Bit length: 35 	 Run time: 0.5377883911132812
Bit length: 36 	 Run time: 6.773914436344057
Bit length: 37 	 Run time: 5.289254626724869
Bit length: 38 	 Run time: 3.4206960308365524
Bit length: 39 	 Run time: 2.7028197227045894
Bit length: 40 	 Run time: 4.500786037184298
Bit length: 41 	 Run time: 11.865604509133846
Bit length: 42 	 Run time: 20.851276008877903
Bit length: 43 	 Run time: 40.72671085782349
Bit length: 44 	 Run time: 61.98266588104889
Bit length: 45 	 Run time: 64.34143515303731
Bit length: 46 	 Run time: 189.4464602121152
Bit length: 47 	 Run time: 33.20043838536367
Bit length: 48 	 Run time: 88.52777052065358
Bit length: 49 	 Run time: 708.7160644875839
Bit length: 50 	 Run time: 283.44042191421613
Bit length: 51 	 Run time: 699.304222738836
Bit length: 52 	 Run time: 1310.990193089936

New test done with time limit: 900s
Bit length: 16 	 Run time: 0.0008719367906451225
Bit length: 17 	 Run time: 0.002325529232621193
Bit length: 18 	 Run time: 0.0016930210404098034
Bit length: 19 	 Run time: 0.0006319410167634487
Bit length: 20 	 Run time: 0.0013738702982664108
Bit length: 21 	 Run time: 0.008853598032146692
Bit length: 22 	 Run time: 0.0108326212503016
Bit length: 23 	 Run time: 0.031016822904348373
Bit length: 24 	 Run time: 0.05642379308119416
Bit length: 25 	 Run time: 0.10165921412408352
Bit length: 26 	 Run time: 0.06529000494629145
Bit length: 27 	 Run time: 0.042051817290484905
Bit length: 28 	 Run time: 0.4139273860491812
Bit length: 29 	 Run time: 0.25026440992951393
Bit length: 30 	 Run time: 0.11696714023128152
Bit length: 31 	 Run time: 0.27926062792539597
Bit length: 32 	 Run time: 0.8331100358627737
Bit length: 33 	 Run time: 1.3523104232735932
Bit length: 34 	 Run time: 2.157131979241967
Bit length: 35 	 Run time: 1.1815411509014666
Bit length: 36 	 Run time: 2.0102764586918056
Bit length: 37 	 Run time: 4.553589459974319
Bit length: 38 	 Run time: 8.358574192970991
Bit length: 39 	 Run time: 5.127374226693064
Bit length: 40 	 Run time: 15.740831257309765
Bit length: 41 	 Run time: 6.44692126987502
Bit length: 42 	 Run time: 17.650256319437176
Bit length: 43 	 Run time: 21.33536136103794
Bit length: 44 	 Run time: 94.70331712765619
Bit length: 45 	 Run time: 111.73096167016774
Bit length: 46 	 Run time: 142.81503903493285
Bit length: 47 	 Run time: 315.98999449936673
Bit length: 48 	 Run time: 123.41252141306177
Bit length: 49 	 Run time: 158.45653194421902
Bit length: 50 	 Run time: 206.08769593993202
Bit length: 51 	 Run time: 1301.3808601084165

New test done with time limit: 900s
Bit length: 16 	 Run time: 0.0018840041011571884
Bit length: 17 	 Run time: 0.0011719479225575924
Bit length: 18 	 Run time: 0.0019224630668759346
Bit length: 19 	 Run time: 0.004985316656529903
Bit length: 20 	 Run time: 0.005958234891295433
Bit length: 21 	 Run time: 0.009257507976144552
