New test done with time limit: 900s
Bit length: 16 	 Run time: 0.007730900775641203
Bit length: 17 	 Run time: 0.015132882632315159
Bit length: 18 	 Run time: 0.03571853321045637
Bit length: 19 	 Run time: 0.06601770780980587
Bit length: 20 	 Run time: 0.15822657430544496
Bit length: 21 	 Run time: 0.21223967568948865
Bit length: 22 	 Run time: 0.5381990037858486
Bit length: 23 	 Run time: 0.9645491652190685
Bit length: 24 	 Run time: 1.5980321522802114
Bit length: 25 	 Run time: 3.411631004884839
Bit length: 26 	 Run time: 5.94340221490711
Bit length: 27 	 Run time: 12.765390008687973
Bit length: 28 	 Run time: 25.650476183742285
Bit length: 29 	 Run time: 56.078653163742274
Bit length: 30 	 Run time: 101.74878327501938
Bit length: 31 	 Run time: 245.2545054750517
Bit length: 32 	 Run time: 504.43824714794755
Bit length: 33 	 Run time: 2005.2869917261414

New test done with time limit: 900s
Bit length: 16 	 Run time: 0.007196594960987568
Bit length: 17 	 Run time: 0.014173530042171478
Bit length: 18 	 Run time: 0.04152520000934601
Bit length: 19 	 Run time: 0.04705673595890403
Bit length: 20 	 Run time: 0.1544827506877482
Bit length: 21 	 Run time: 0.29946562368422747
Bit length: 22 	 Run time: 0.4237549970857799
Bit length: 23 	 Run time: 1.0234479210339487
Bit length: 24 	 Run time: 1.625413458328694
Bit length: 25 	 Run time: 3.080572442151606
Bit length: 26 	 Run time: 6.179602399934083
Bit length: 27 	 Run time: 12.135541984345764
Bit length: 28 	 Run time: 34.85385664086789
Bit length: 29 	 Run time: 69.72126154322177
Bit length: 30 	 Run time: 127.49617519415915
Bit length: 31 	 Run time: 332.29339722916484
Bit length: 32 	 Run time: 603.6924047148786
Bit length: 33 	 Run time: 1674.4327590563335

New test done with time limit: 900s
Bit length: 16 	 Run time: 0.017556416802108288
Bit length: 17 	 Run time: 0.019910461734980345
Bit length: 18 	 Run time: 0.06005906127393246
Bit length: 19 	 Run time: 0.05769250588491559
Bit length: 20 	 Run time: 0.1636226000264287
Bit length: 21 	 Run time: 0.23013572860509157
Bit length: 22 	 Run time: 0.579615349881351
Bit length: 23 	 Run time: 1.0214899368584156
Bit length: 24 	 Run time: 2.2458282811567187
Bit length: 25 	 Run time: 4.566014536190778
Bit length: 26 	 Run time: 8.907760073896497
Bit length: 27 	 Run time: 14.445028058253229
Bit length: 28 	 Run time: 37.70116226701066
Bit length: 29 	 Run time: 83.84180651511997
Bit length: 30 	 Run time: 137.60302029876038
Bit length: 31 	 Run time: 346.6510638752952
Bit length: 32 	 Run time: 554.6120521239936
Bit length: 33 	 Run time: 1522.1549792210571

New test done with time limit: 900s
Bit length: 16 	 Run time: 0.010629206895828247
Bit length: 17 	 Run time: 0.03100887406617403
Bit length: 18 	 Run time: 0.05923553183674812
Bit length: 19 	 Run time: 0.05951062310487032
Bit length: 20 	 Run time: 0.13957928027957678
Bit length: 21 	 Run time: 0.3192406389862299
Bit length: 22 	 Run time: 0.481752946972847
Bit length: 23 	 Run time: 0.8421714650467038
Bit length: 24 	 Run time: 1.6715915510430932
Bit length: 25 	 Run time: 5.630428024102002
